name,val,sci,common,kingdom,phylum,class,order,family,genus
Neofelis diardi,0.166672379083198,Neofelis diardi,Sunda clouded leopard,Metazoa,Chordata,Mammalia,Carnivora,Felidae,Neofelis
Leopard,0.166672379083198,Panthera pardus,Leopard,Metazoa,Chordata,Mammalia,Carnivora,Felidae,Panthera
Siberian tiger,0.166672379083198,Panthera tigris altaica,Siberian tiger,Metazoa,Chordata,Mammalia,Carnivora,Felidae,Panthera
Cougar,0.166672379083198,Puma concolor,Cougar,Metazoa,Chordata,Mammalia,Carnivora,Felidae,Puma
Arctic fox,0.16683441994488,Vulpes lagopus,Arctic fox,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes
Red Fox,0.16683441994488,Vulpes vulpes,Red Fox,Metazoa,Chordata,Mammalia,Carnivora,Canidae,Vulpes
Mantled howler,0.168200565600252,Alouatta palliata,Mantled howler,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta
Geoffroy's spider monkey,0.168570686280169,Ateles geoffroyi,Geoffroy's spider monkey,Animalia,Chordata,Mammalia,Primates,Atelidae,Ateles
Emperor tamarin,0.168977876159951,Saguinus imperator,Emperor tamarin,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus
Black rhinoceros,0.169957328752204,Diceros bicornis,Black rhinoceros,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Diceros
Northern white rhinoceros,0.169957328752204,Ceratotherium simum cottoni,Northern white rhinoceros,Metazoa,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Ceratotherium
Northern white rhinoceros,0.169957328752204,Ceratotherium simum cottoni,Northern white rhinoceros,Metazoa,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Ceratotherium
Masai giraffe,0.171225174684425,Giraffa tippelskirchi,Masai giraffe,Animalia,Chordata,Mammalia,Artiodactyla,Giraffidae,Giraffa
Okapi,0.171225174684425,Okapia johnstoni,Okapi,Animalia,Chordata,Mammalia,Artiodactyla,Giraffidae,Okapia
Pronghorn,0.172466245387815,Antilocapra americana,Pronghorn,Animalia,Chordata,Mammalia,Artiodactyla,Antilocapridae,Antilocapra
Scimitar oryx,0.173293821512672,Oryx dammah,Scimitar oryx,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx
Arctic Ground Squirrel,0.176921719201324,Urocitellus parryii,Arctic Ground Squirrel,Metazoa,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus
Cricetulus griseus,0.179728464626924,Cricetulus griseus,Chinese hamster,Metazoa,Chordata,Mammalia,Rodentia,Cricetidae,Cricetulus
Cricetulus griseus,0.179728464626924,Cricetulus griseus,Chinese hamster,Metazoa,Chordata,Mammalia,Rodentia,Cricetidae,Cricetulus
Coquerel's giant mouse lemur,0.180209031334665,Mirza coquereli,Coquerel's giant mouse lemur,Animalia,Chordata,Mammalia,Primates,Cheirogaleidae,Mirza
Blue-eyed black lemur,0.183684348564766,Eulemur flavifrons,Blue-eyed black lemur,Animalia,Chordata,Mammalia,Primates,Lemuridae,Eulemur
