name,val,sci,common,kingdom,phylum,class,order,family,genus
Chuck-will's-widow,0.626021619529875,Antrostomus carolinensis,Chuck-will's-widow,Metazoa,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Antrostomus
Small Tree Finch,0.626345635918811,Camarhynchus parvulus,Small Tree Finch,Metazoa,Chordata,Aves,Passeriformes,Thraupidae,Camarhynchus
Medium Ground Finch,0.626345635918811,Geospiza fortis,Medium Ground Finch,Metazoa,Chordata,Aves,Passeriformes,Thraupidae,Geospiza
Collared Flycatcher,0.636538125522492,Ficedula albicollis,Collared Flycatcher,Metazoa,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula
Common Canary,0.639876094457037,Serinus canaria,Common Canary,Metazoa,Chordata,Aves,Passeriformes,Fringillidae,Serinus
Japanese Pipistrelle,0.653162005935074,Pipistrellus abramus,Japanese Pipistrelle,Metazoa,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus
Corvus cornix cornix,0.655687889745793,Corvus cornix cornix,hooded crow,Metazoa,Chordata,Aves,Passeriformes,Corvidae,Corvus
White-throated Tinamou,0.658543168160092,Tinamus guttatus,White-throated Tinamou,Metazoa,Chordata,Aves,Tinamiformes,Tinamidae,Tinamus
Wallaby,0.660283803875711,Notamacropus eugenii,tammar wallaby,Metazoa,Chordata,Mammalia,Diprotodontia,Macropodidae,Notamacropus
Dalmatian Pelican,0.666479407215629,Pelecanus crispus,Dalmatian Pelican,Metazoa,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus
Paloma doméstica,0.673388187715981,Columba livia,Paloma doméstica,Metazoa,Chordata,Aves,Columbiformes,Columbidae,Columba
Chilean Tinamou,0.67407151234326,Nothoprocta perdicaria,Chilean Tinamou,Metazoa,Chordata,Aves,Tinamiformes,Tinamidae,Nothoprocta
Zebra Finch,0.67838006922652,Taeniopygia guttata,Zebra Finch,Metazoa,Chordata,Aves,Passeriformes,Estrildidae,Taeniopygia
Zebra Finch,0.67838006922652,Taeniopygia guttata,Zebra Finch,Metazoa,Chordata,Aves,Passeriformes,Estrildidae,Taeniopygia
Dark-eyed junco,0.685538554581449,Junco hyemalis,dark-eyed junco,Metazoa,Chordata,Aves,Passeriformes,Passerellidae,Junco
Gouldian finch,0.687327906144477,Erythrura gouldiae,Gouldian finch,Metazoa,Chordata,Aves,Passeriformes,Estrildidae,Erythrura
Colimbo menor,0.690957049524879,Gavia stellata,Colimbo menor,Metazoa,Chordata,Aves,Gaviiformes,Gaviidae,Gavia
Melospiza melodia maxima,0.692628197799361,Melospiza melodia maxima,giant song sparrow,Metazoa,Chordata,Aves,Passeriformes,Passerellidae,Melospiza
Estornino pinto,0.692895741434951,Sturnus vulgaris,Estornino pinto,Metazoa,Chordata,Aves,Passeriformes,Sturnidae,Sturnus
Saffron-crested Neopelma,0.699371417412607,Neopelma chrysocephalum,Saffron-crested Neopelma,Metazoa,Chordata,Aves,Passeriformes,Pipridae,Neopelma
Pink-footed goose,0.709513948203373,Anser brachyrhynchus,Pink-footed Goose,Metazoa,Chordata,Aves,Anseriformes,Anatidae,Anser
Black Swan,0.709513948203373,Cygnus atratus,Black Swan,Metazoa,Chordata,Aves,Anseriformes,Anatidae,Cygnus
Red Junglefowl,0.71259218122704,Gallus gallus,Red Junglefowl,Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus
Red Junglefowl,0.71259218122704,Gallus gallus,Red Junglefowl,Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus
Red Junglefowl,0.71259218122704,Gallus gallus,Red Junglefowl,Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus
Anser cygnoides domesticus,0.713650343714792,Anser cygnoides domesticus,Domestic geese,Metazoa,Chordata,Aves,Anseriformes,Anatidae,Anser
Great Cormorant,0.718183626312842,Phalacrocorax carbo,Great Cormorant,Metazoa,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,Phalacrocorax
Tufted Duck,0.72036214297888,Aythya fuligula,Tufted Duck,Metazoa,Chordata,Aves,Anseriformes,Anatidae,Aythya
Common Pheasant,0.722173784706543,Phasianus colchicus,Common Pheasant,Metazoa,Chordata,Aves,Galliformes,Phasianidae,Phasianus
Common Pheasant,0.722173784706543,Phasianus colchicus,Common Pheasant,Metazoa,Chordata,Aves,Galliformes,Phasianidae,Phasianus
Tyto alba alba,0.722437484237911,Tyto alba alba,western barn owl,Metazoa,Chordata,Aves,Strigiformes,Tytonidae,Tyto
Blue-crowned Manakin,0.723955829331713,Lepidothrix coronata,Blue-crowned Manakin,Metazoa,Chordata,Aves,Passeriformes,Pipridae,Lepidothrix
Blue-crowned Manakin,0.723955829331713,Lepidothrix coronata,Blue-crowned Manakin,Metazoa,Chordata,Aves,Passeriformes,Pipridae,Lepidothrix
Golden-collared Manakin,0.723955829331713,Manacus vitellinus,Golden-collared Manakin,Metazoa,Chordata,Aves,Passeriformes,Pipridae,Manacus
Golden-collared Manakin,0.723955829331713,Manacus vitellinus,Golden-collared Manakin,Metazoa,Chordata,Aves,Passeriformes,Pipridae,Manacus
Golden-collared Manakin,0.723955829331713,Manacus vitellinus,Golden-collared Manakin,Metazoa,Chordata,Aves,Passeriformes,Pipridae,Manacus
Wire-tailed Manakin,0.723955829331713,Pipra filicauda,Wire-tailed Manakin,Metazoa,Chordata,Aves,Passeriformes,Pipridae,Pipra
Rabijunco cola blanca,0.726846536302297,Phaethon lepturus,Rabijunco cola blanca,Metazoa,Chordata,Aves,Pelecaniformes,Phaethontidae,Phaethon
Tecolote llanero,0.726846536302297,Athene cunicularia,Tecolote llanero,Metazoa,Chordata,Aves,Strigiformes,Strigidae,Athene
Tecolote llanero,0.726846536302297,Athene cunicularia,Tecolote llanero,Metazoa,Chordata,Aves,Strigiformes,Strigidae,Athene
Zopilote aura,0.727398314731504,Cathartes aura,Zopilote aura,Metazoa,Chordata,Aves,Accipitriformes,Cathartidae,Cathartes
Lonchura striata domestica,0.72963894366723,Lonchura striata domestica,society finch,Metazoa,Chordata,Aves,Passeriformes,Estrildidae,Lonchura
Pato de collar,0.731909045720228,Anas platyrhynchos,Mallard,Metazoa,Chordata,Aves,Anseriformes,Anatidae,Anas
Pato de collar,0.731909045720228,Anas platyrhynchos,Mallard,Metazoa,Chordata,Aves,Anseriformes,Anatidae,Anas
South African Shelduck,0.731909045720228,Tadorna cana,South African Shelduck,Metazoa,Chordata,Aves,Anseriformes,Anatidae,Tadorna
Turkey,0.732311502850149,Meleagris gallopavo,Guajolote norteño,Metazoa,Chordata,Aves,Galliformes,Phasianidae,Meleagris
Turkey,0.732311502850149,Meleagris gallopavo,Guajolote norteño,Metazoa,Chordata,Aves,Galliformes,Phasianidae,Meleagris
Pato tepalcate,0.732694001744355,Oxyura jamaicensis,Pato tepalcate,Metazoa,Chordata,Aves,Anseriformes,Anatidae,Oxyura
Emu,0.735183126702565,Dromaius novaehollandiae,Emu,Metazoa,Chordata,Aves,Casuariiformes,Dromaiidae,Dromaius
Gorrión garganta blanca,0.737925285230305,Zonotrichia albicollis,Gorrión garganta blanca,Metazoa,Chordata,Aves,Passeriformes,Passerellidae,Zonotrichia
Palla's mastiff bat,0.737925285230305,Molossus molossus,Palla's mastiff bat,Metazoa,Chordata,Mammalia,Chiroptera,Molossidae,Molossus
Palla's mastiff bat,0.737925285230305,Molossus molossus,Palla's mastiff bat,Metazoa,Chordata,Mammalia,Chiroptera,Molossidae,Molossus
Palla's mastiff bat,0.737925285230305,Molossus molossus,Palla's mastiff bat,Metazoa,Chordata,Mammalia,Chiroptera,Molossidae,Molossus
Palla's mastiff bat,0.737925285230305,Molossus molossus,Palla's mastiff bat,Metazoa,Chordata,Mammalia,Chiroptera,Molossidae,Molossus
Palla's mastiff bat,0.737925285230305,Molossus molossus,Palla's mastiff bat,Metazoa,Chordata,Mammalia,Chiroptera,Molossidae,Molossus
Emperor Penguin,0.737996193559518,Aptenodytes forsteri,Emperor Penguin,Metazoa,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes
King Penguin,0.737996193559518,Aptenodytes patagonicus,King Penguin,Metazoa,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes
Megadyptes antipodes antipodes,0.737996193559518,Megadyptes antipodes antipodes,yellow-eyed penguin,Metazoa,Chordata,Aves,Sphenisciformes,Spheniscidae,Megadyptes
Adelie Penguin,0.737996193559518,Pygoscelis adeliae,Adelie Penguin,Metazoa,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis
Adelie Penguin,0.737996193559518,Pygoscelis adeliae,Adelie Penguin,Metazoa,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis
Gentoo Penguin,0.737996193559518,Pygoscelis papua,Gentoo Penguin,Metazoa,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis
Jackass Penguin,0.737996193559518,Spheniscus demersus,Jackass Penguin,Metazoa,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus
Magellanic Penguin,0.737996193559518,Spheniscus magellanicus,Magellanic Penguin,Metazoa,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus
Mosquero saucero,0.742358536440958,Empidonax traillii,Mosquero saucero,Metazoa,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax
Buceros rhinoceros silvestris,0.745826909304867,Buceros rhinoceros silvestris,Javan Rhinoceros Hornbill,Metazoa,Chordata,Aves,Bucerotiformes,Bucerotidae,Buceros
Blue Tit,0.746744445009098,Cyanistes caeruleus,Blue Tit,Metazoa,Chordata,Aves,Passeriformes,Paridae,Cyanistes
Brown Mesite,0.747396849703359,Mesitornis unicolor,Brown Mesite,Metazoa,Chordata,Aves,Gruiformes,Mesitornithidae,Mesitornis
Chinstrap Penguin,0.748484527868296,Pygoscelis antarcticus,Chinstrap Penguin,Metazoa,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis
Great spotted kiwi,0.749016252663118,Apteryx haastii,Great Spotted Kiwi,Metazoa,Chordata,Aves,Apterygiformes,Apterygidae,Apteryx
Little spotted kiwi,0.749016252663118,Apteryx owenii,Little Spotted Kiwi,Metazoa,Chordata,Aves,Apterygiformes,Apterygidae,Apteryx
Okarito Brown Kiwi,0.749016252663118,Apteryx rowi,Okarito Brown Kiwi,Metazoa,Chordata,Aves,Apterygiformes,Apterygidae,Apteryx
Chorlo tildío,0.749225096091424,Charadrius vociferus,Chorlo tildío,Metazoa,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius
White-ruffed Manakin,0.749488564991654,Corapipo altera,White-ruffed Manakin,Metazoa,Chordata,Aves,Passeriformes,Pipridae,Corapipo
Cuckoo-Roller,0.752146094505666,Leptosomus discolor,Cuckoo-Roller,Metazoa,Chordata,Aves,Coraciiformes,Leptosomidae,Leptosomus
Erect-crested Penguin,0.756834960648121,Eudyptes sclateri,Erect-crested Penguin,Metazoa,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes
Fiordland Penguin,0.756834960648121,Eudyptes pachyrhynchus,Fiordland Penguin,Metazoa,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes
Snares Penguin,0.756834960648121,Eudyptes robustus,Snares Penguin,Metazoa,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes
Rockhopper Penguin,0.756834960648121,Eudyptes chrysocome,Rockhopper Penguin,Metazoa,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes
Eudyptes filholi,0.756834960648121,Eudyptes filholi,eastern rockhopper penguin,Metazoa,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes
Macaroni Penguin,0.756834960648121,Eudyptes chrysolophus,Macaroni Penguin,Metazoa,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes
Royal Penguin,0.756834960648121,Eudyptes schlegeli,Royal Penguin,Metazoa,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes
Eudyptula novaehollandiae,0.756834960648121,Eudyptula novaehollandiae,Australian fairy penguin,Metazoa,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptula
Eudyptula albosignata,0.756834960648121,Eudyptula albosignata,white-flippered penguin,Metazoa,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptula
Fairy Penguin,0.756834960648121,Eudyptula minor,Fairy Penguin,Metazoa,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptula
Anna's Hummingbird,0.759782605026255,Calypte anna,Anna's Hummingbird,Metazoa,Chordata,Aves,Apodiformes,Trochilidae,Calypte
Red-legged Seriema,0.761626574097953,Cariama cristata,Red-legged Seriema,Metazoa,Chordata,Aves,Cariamiformes,Cariamidae,Cariama
Budgerigar,0.767044446978703,Melopsittacus undulatus,Budgerigar,Metazoa,Chordata,Aves,Psittaciformes,Psittaculidae,Melopsittacus
Lance-tailed Manakin,0.7670821426032,Chiroxiphia lanceolata,Lance-tailed Manakin,Metazoa,Chordata,Aves,Passeriformes,Pipridae,Chiroxiphia
Helmeted Guineafowl,0.769522512693852,Numida meleagris,Helmeted Guineafowl,Metazoa,Chordata,Aves,Galliformes,Numididae,Numida
Golden pheasant,0.769942061410491,Chrysolophus pictus,Golden pheasant,Metazoa,Chordata,Aves,Galliformes,Phasianidae,Chrysolophus
Common Barn-Owl,0.770011250922534,Tyto alba,Common Barn-Owl,Metazoa,Chordata,Aves,Strigiformes,Tytonidae,Tyto
Yellow-billed parrot,0.780830198283378,Amazona collaria,Yellow-billed Amazon,Metazoa,Chordata,Aves,Psittaciformes,Psittacidae,Amazona
Águila cabeza blanca,0.785037302376891,Haliaeetus leucocephalus,Águila cabeza blanca,Metazoa,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus
Pseudopodoces humilis,0.785089416763615,Pseudopodoces humilis,ground tit,Metazoa,Chordata,Aves,Passeriformes,Paridae,Pseudopodoces
Patagioenas fasciata monilis,0.786619956677229,Patagioenas fasciata monilis,western Band-tailed Pigeon,Metazoa,Chordata,Aves,Columbiformes,Columbidae,Patagioenas
Macqueen's Bustard,0.787633635352172,Chlamydotis macqueenii,Macqueen's Bustard,Metazoa,Chordata,Aves,Gruiformes,Otididae,Chlamydotis
Macqueen's Bustard,0.787633635352172,Chlamydotis macqueenii,Macqueen's Bustard,Metazoa,Chordata,Aves,Gruiformes,Otididae,Chlamydotis
Gavial,0.789973693703597,Gavialis gangeticus,Gavial,Metazoa,Chordata,Reptilia,Crocodylia,Gavialidae,Gavialis
Kakapo,0.790437082022532,Strigops habroptila,Kakapo,Metazoa,Chordata,Aves,Psittaciformes,Psittacidae,Strigops
Kakapo,0.790437082022532,Strigops habroptila,Kakapo,Metazoa,Chordata,Aves,Psittaciformes,Psittacidae,Strigops
Zorzal de Swainson,0.791660590864508,Catharus ustulatus,Zorzal de Swainson,Metazoa,Chordata,Aves,Passeriformes,Turdidae,Catharus
Eurasian sparrowhawk,0.79484906886829,Accipiter nisus,Eurasian Sparrowhawk,Metazoa,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter
Struthio camelus australis,0.7976128533507,Struthio camelus australis,South African ostrich,Metazoa,Chordata,Aves,Struthioniformes,Struthionidae,Struthio
Struthio camelus australis,0.7976128533507,Struthio camelus australis,South African ostrich,Metazoa,Chordata,Aves,Struthioniformes,Struthionidae,Struthio
Aquila chrysaetos chrysaetos,0.798874153646886,Aquila chrysaetos chrysaetos,golden eagle,Metazoa,Chordata,Aves,Accipitriformes,Accipitridae,Aquila
Aquila chrysaetos chrysaetos,0.798874153646886,Aquila chrysaetos chrysaetos,golden eagle,Metazoa,Chordata,Aves,Accipitriformes,Accipitridae,Aquila
Japanese Crested Ibis,0.799732092014084,Nipponia nippon,Japanese Crested Ibis,Metazoa,Chordata,Aves,Pelecaniformes,Threskiornithidae,Nipponia
Japanese Crested Ibis,0.799732092014084,Nipponia nippon,Japanese Crested Ibis,Metazoa,Chordata,Aves,Pelecaniformes,Threskiornithidae,Nipponia
Saker Falcon,0.80837648356211,Falco cherrug,Saker Falcon,Metazoa,Chordata,Aves,Falconiformes,Falconidae,Falco
Hoatzin,0.81369078887602,Opisthocomus hoazin,Hoatzin,Metazoa,Chordata,Aves,Opisthocomiformes,Opisthocomidae,Opisthocomus
Hoatzin,0.81369078887602,Opisthocomus hoazin,Hoatzin,Metazoa,Chordata,Aves,Opisthocomiformes,Opisthocomidae,Opisthocomus
Turquoise-fronted Amazon,0.820001183147455,Amazona aestiva,Turquoise-fronted Amazon,Metazoa,Chordata,Aves,Psittaciformes,Psittacidae,Amazona
Vencejo de chimenea,0.820819959531373,Chaetura pelagica,Vencejo de chimenea,Metazoa,Chordata,Aves,Apodiformes,Apodidae,Chaetura
Hirundo rustica rustica,0.821301323654966,Hirundo rustica rustica,barn swallow,Metazoa,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo
Northern Carmine Bee-eater,0.82280277498072,Merops nubicus,Northern Carmine Bee-eater,Metazoa,Chordata,Aves,Coraciiformes,Meropidae,Merops
Paroedura picta,0.823598594700681,Paroedura picta,ocelot gecko,Metazoa,Chordata,Lepidosauria,Squamata,Gekkonidae,Paroedura
Chinese Softshell,0.825867242225861,Pelodiscus sinensis,Chinese Softshell,Metazoa,Chordata,Reptilia,Testudines,Trionychidae,Pelodiscus
Peregrine Falcon,0.829515339398332,Falco peregrinus,Peregrine Falcon,Metazoa,Chordata,Aves,Falconiformes,Falconidae,Falco
Geotrypetes seraphini,0.832617571408729,Geotrypetes seraphini,Gaboon caecilian,Metazoa,Chordata,Amphibia,Gymnophiona,Dermophiidae,Geotrypetes
American Alligator,0.838867583990971,Alligator mississippiensis,American Alligator,Metazoa,Chordata,Reptilia,Crocodylia,Alligatoridae,Alligator
Nile mouthbreeder,0.843374487401793,Oreochromis niloticus,Nile mouthbreeder,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Oreochromis
Nile mouthbreeder,0.843374487401793,Oreochromis niloticus,Nile mouthbreeder,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Oreochromis
Japanese Quail,0.85050658949252,Coturnix japonica,Japanese Quail,Metazoa,Chordata,Aves,Galliformes,Phasianidae,Coturnix
Central Bearded Dragon,0.854792108752711,Pogona vitticeps,Central Bearded Dragon,Metazoa,Chordata,Lepidosauria,Squamata,Agamidae,Pogona
Great Tit,0.855726662315563,Parus major,Great Tit,Metazoa,Chordata,Aves,Passeriformes,Paridae,Parus
Argentine black and white tegu,0.858417455729612,Salvator merianae,Argentine black and white tegu,Metazoa,Chordata,Lepidosauria,Squamata,Teiidae,Salvator
saltwater crocodile,0.860623846224716,Crocodylus porosus,saltwater crocodile,Metazoa,Chordata,Reptilia,Crocodylia,Crocodylidae,Crocodylus
Chinese Alligator,0.861625564216511,Alligator sinensis,Chinese Alligator,Metazoa,Chordata,Reptilia,Crocodylia,Alligatoridae,Alligator
Zootoca vivipara,0.866367719726132,Zootoca vivipara,viviparous lizard,Metazoa,Chordata,Lepidosauria,Squamata,Lacertidae,Zootoca
Eastern Corn Snake,0.869696214124591,Pantherophis guttatus,Eastern Corn Snake,Metazoa,Chordata,Lepidosauria,Squamata,Colubridae,Pantherophis
Spoon-billed sandpiper,0.870668351214293,Calidris pygmaea,spoon-billed sandpiper,Metazoa,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris
Brown Spotted Pitviper,0.874066272425918,Protobothrops mucrosquamatus,Brown Spotted Pitviper,Metazoa,Chordata,Lepidosauria,Squamata,Viperidae,Protobothrops
zebra danio,0.874964603712349,Danio rerio,zebra danio,Metazoa,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio
zebra danio,0.874964603712349,Danio rerio,zebra danio,Metazoa,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio
Painted Turtle,0.876366246757433,Chrysemys picta,Painted Turtle,Metazoa,Chordata,Reptilia,Testudines,Emydidae,Chrysemys
Western Painted Turtle,0.876366246757433,Chrysemys picta bellii,Western Painted Turtle,Metazoa,Chordata,Reptilia,Testudines,Emydidae,Chrysemys
Red-eared Slider,0.876366246757433,Trachemys scripta elegans,Red-eared Slider,Metazoa,Chordata,Reptilia,Testudines,Emydidae,Trachemys
Green Anole,0.87893750576274,Anolis carolinensis,Green Anole,Metazoa,Chordata,Lepidosauria,Squamata,Dactyloidae,Anolis
Ave sol,0.880680730114946,Eurypyga helias,Ave sol,Metazoa,Chordata,Aves,Gruiformes,Eurypygidae,Eurypyga
Limosa lapponica baueri,0.892011436857174,Limosa lapponica baueri,Eastern Bar-tailed Godwit,Metazoa,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa
King Cobra,0.893056172667308,Ophiophagus hannah,King Cobra,Metazoa,Chordata,Lepidosauria,Squamata,Elapidae,Ophiophagus
Green Sea Turtle,0.898742813175205,Chelonia mydas,Green Sea Turtle,Metazoa,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia
Three-toed Box Turtle,0.898742813175205,Terrapene carolina triunguis,Three-toed Box Turtle,Metazoa,Chordata,Reptilia,Testudines,Emydidae,Terrapene
Three-toed Box Turtle,0.898742813175205,Terrapene carolina triunguis,Three-toed Box Turtle,Metazoa,Chordata,Reptilia,Testudines,Emydidae,Terrapene
Three-toed Box Turtle,0.898742813175205,Terrapene carolina triunguis,Three-toed Box Turtle,Metazoa,Chordata,Reptilia,Testudines,Emydidae,Terrapene
Big-headed Turtle,0.898742813175205,Platysternon megacephalum,Big-headed Turtle,Metazoa,Chordata,Reptilia,Testudines,Platysternidae,Platysternon
Astatotilapia calliptera,0.905094597002142,Astatotilapia calliptera,eastern happy,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Astatotilapia
Haplochromis burtoni,0.905094597002142,Haplochromis burtoni,Burton's mouthbrooder,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Haplochromis
Maylandia zebra,0.905094597002142,Maylandia zebra,zebra mbuna,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Maylandia
tilapia azul,0.905094597002142,Oreochromis aureus,tilapia azul,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Oreochromis
tilapia azul,0.905094597002142,Oreochromis aureus,tilapia azul,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Oreochromis
Pundamilia nyererei,0.905094597002142,Pundamilia nyererei,Ruti Island Cichlid,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Pundamilia
fairy cichlid,0.907634875602822,Neolamprologus brichardi,fairy cichlid,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Neolamprologus
Mainland Tiger Snake,0.913214498516955,Notechis scutatus,Mainland Tiger Snake,Metazoa,Chordata,Lepidosauria,Squamata,Elapidae,Notechis
Mainland Tiger Snake,0.913214498516955,Notechis scutatus,Mainland Tiger Snake,Metazoa,Chordata,Lepidosauria,Squamata,Elapidae,Notechis
Eastern Brown Snake,0.913803090912516,Pseudonaja textilis,Eastern Brown Snake,Metazoa,Chordata,Lepidosauria,Squamata,Elapidae,Pseudonaja
yellow croaker,0.926287527351621,Larimichthys crocea,yellow croaker,Metazoa,Chordata,Actinopteri,Perciformes,Sciaenidae,Larimichthys
yellow croaker,0.926287527351621,Larimichthys crocea,yellow croaker,Metazoa,Chordata,Actinopteri,Perciformes,Sciaenidae,Larimichthys
Xenopus tropicalis,0.940692189704394,Xenopus tropicalis,western clawed frog,Metazoa,Chordata,Amphibia,Anura,Pipidae,Xenopus
Xenopus tropicalis,0.940692189704394,Xenopus tropicalis,western clawed frog,Metazoa,Chordata,Amphibia,Anura,Pipidae,Xenopus
Barramundi perch,0.943389359926895,Lates calcarifer,giant perch,Metazoa,Chordata,Actinopteri,Perciformes,Centropomidae,Lates
giant perch,0.943389359926895,Lates calcarifer,giant perch,Metazoa,Chordata,Actinopteri,Perciformes,Centropomidae,Lates
Calidris pugnax,0.943564119065163,Calidris pugnax,ruff,Metazoa,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris
Calidris pugnax,0.943564119065163,Calidris pugnax,ruff,Metazoa,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris
Eastern Brown Snake,0.945927460309533,Pseudonaja textilis,Eastern Brown Snake,Metazoa,Chordata,Lepidosauria,Squamata,Elapidae,Pseudonaja
Archocentrus centrarchus,0.947714781079853,Archocentrus centrarchus,Flier cichlid,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Archocentrus
Pinta Giant Tortoise,0.954471246962209,Chelonoidis abingdonii,Pinta Giant Tortoise,Metazoa,Chordata,Reptilia,Testudines,Testudinidae,Chelonoidis
Pinta Giant Tortoise,0.954471246962209,Chelonoidis abingdonii,Pinta Giant Tortoise,Metazoa,Chordata,Reptilia,Testudines,Testudinidae,Chelonoidis
Goode's Thornscrub Tortoise,0.954471246962209,Gopherus evgoodei,Goode's Thornscrub Tortoise,Metazoa,Chordata,Reptilia,Testudines,Testudinidae,Gopherus
snakefish,0.957670995747243,Erpetoichthys calabaricus,snakefish,Metazoa,Chordata,Cladistia,Polypteriformes,Polypteridae,Erpetoichthys
Callorhinchus milii,0.95956633079076,Callorhinchus milii,Australian ghostshark,Metazoa,Chordata,Chondrichthyes,Chimaeriformes,Callorhinchidae,Callorhinchus
Callorhinchus milii,0.95956633079076,Callorhinchus milii,Australian ghostshark,Metazoa,Chordata,Chondrichthyes,Chimaeriformes,Callorhinchidae,Callorhinchus
Collichthys lucidus,0.977141153590855,Collichthys lucidus,big head croaker,Metazoa,Chordata,Actinopteri,Perciformes,Sciaenidae,Collichthys
northern wolffish,0.99257854419235,Anarrhichthys ocellatus,northern wolffish,Metazoa,Chordata,Actinopteri,Perciformes,Anarhichadidae,Anarrhichthys
Western Terrestrial Garter Snake,0.994382120942009,Thamnophis elegans,Western Terrestrial Garter Snake,Metazoa,Chordata,Lepidosauria,Squamata,Colubridae,Thamnophis
Midas cichlid,1.00166099076387,Amphilophus citrinellus,Midas cichlid,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Amphilophus
Rhinatrema bivittatum,1.00362334642647,Rhinatrema bivittatum,two-lined caecilian,Metazoa,Chordata,Amphibia,Gymnophiona,Rhinatrematidae,Rhinatrema
Burmese Python,1.00703502181799,Python bivittatus,Burmese Python,Metazoa,Chordata,Lepidosauria,Squamata,Pythonidae,Python
Hippocampus comes,1.03909664364323,Hippocampus comes,tiger tail seahorse,Metazoa,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus
Dissostichus mawsoni,1.04219701258143,Dissostichus mawsoni,Antarctic toothfish,Metazoa,Chordata,Actinopteri,Perciformes,Nototheniidae,Dissostichus
chopita bicolor,1.04422700172171,Stegastes partitus,chopita bicolor,Metazoa,Chordata,Actinopteri,Perciformes,Pomacentridae,Stegastes
Sinocyclocheilus anshuiensis,1.04917792195281,Sinocyclocheilus anshuiensis,Blind barbel,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Sinocyclocheilus
Sinocyclocheilus anshuiensis,1.04917792195281,Sinocyclocheilus anshuiensis,Blind barbel,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Sinocyclocheilus
Rhinatrema bivittatum,1.05355850275701,Rhinatrema bivittatum,two-lined caecilian,Metazoa,Chordata,Amphibia,Gymnophiona,Rhinatrematidae,Rhinatrema
Tetraodon,1.056963172898,Tetraodon nigroviridis,spotted green pufferfish,Metazoa,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Tetraodon
African Clawed Frog,1.05997036090033,Xenopus laevis,African Clawed Frog,Metazoa,Chordata,Amphibia,Anura,Pipidae,Xenopus
African Clawed Frog,1.05997036090033,Xenopus laevis,African Clawed Frog,Metazoa,Chordata,Amphibia,Anura,Pipidae,Xenopus
swamp eel,1.06306975843426,Monopterus albus,swamp eel,Metazoa,Chordata,Actinopteri,Synbranchiformes,Synbranchidae,Monopterus
